"","Group.1","Group.2","x3"
"33399",6203,"watered",1
"33463",6390,"watered",1
"33595",6763,"watered",1
"33658",6949,"watered",1
"33744",7160,"watered",1
"33832",7351,"watered",1
"33833",7352,"watered",1
"33892",7463,"watered",1
"33893",7464,"watered",1
"33918",7533,"watered",1
"33953",7633,"watered",1
"34137",8053,"watered",1
"34160",8124,"watered",1
"34184",8181,"watered",1
"34185",8184,"watered",1
"34206",8241,"watered",1
"34208",8243,"watered",1
"34210",8245,"watered",1
"34236",8336,"watered",1
"34254",8371,"watered",1
"34255",8372,"watered",1
"34256",8373,"watered",1
"34369",8816,"watered",1
"34692",9616,"watered",1
"34751",9734,"watered",1
"35057",10350,"watered",1
"35058",10351,"watered",1
"35067",10361,"watered",1
"35087",10390,"watered",1
"35089",10392,"watered",1
"35238",10746,"watered",1
"35382",11118,"watered",1
"35465",11313,"watered",1
"35585",11538,"watered",1
"35639",11645,"watered",1
"35888",12119,"watered",1
"35893",12129,"watered",1
"35894",12130,"watered",1
"35895",12134,"watered",1
"35896",12135,"watered",1
"35933",12205,"watered",1
"35934",12206,"watered",1
"35940",12214,"watered",1
"35959",12235,"watered",1
"35974",12254,"watered",1
"36047",12388,"watered",1
"36098",12489,"watered",1
"36117",12519,"watered",1
"36177",12637,"watered",1
"36211",12686,"watered",1
"36230",12718,"watered",1
"36238",12729,"watered",1
"37315",14744,"watered",1
