"Group.1","control","dry","none_Fd","none_Fs","none_Fv","watered","Kingdom","Phylum","Class","Order","Family","Genus"
7637,1,NA,NA,NA,1,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Parvularculales","Parvularculaceae","Parvularculaceae_ge"
7658,NA,NA,NA,1,NA,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Aminobacter"
7731,1,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Litorimonas"
7844,NA,NA,1,NA,NA,NA,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","NS9_marine_group","NS9_marine_group_ge"
7845,NA,NA,NA,1,NA,NA,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","NS9_marine_group","NS9_marine_group_ge"
7861,NA,NA,NA,NA,1,NA,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Blastopirellula"
7939,1,NA,1,NA,1,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Leucothrix"
7965,1,NA,1,NA,1,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Leucothrix"
7966,1,NA,1,NA,1,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Leucothrix"
7967,NA,NA,1,NA,NA,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Leucothrix"
7998,NA,1,NA,NA,NA,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Psychromonadaceae","Psychromonas"
8018,NA,NA,NA,1,NA,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Cocleimonas"
8019,1,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Thiotrichaceae_ge"
8050,1,NA,1,1,1,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","Arenicella"
8051,1,NA,NA,1,1,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","Arenicella"
8053,1,NA,1,1,1,1,"Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","Arenicella"
8124,NA,1,NA,NA,NA,1,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas"
8181,1,1,NA,NA,NA,1,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Psychromonadaceae","Psychromonas"
8184,1,1,NA,NA,NA,1,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Psychromonadaceae","Psychromonas"
8185,NA,1,NA,NA,NA,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Psychromonadaceae","Psychromonas"
8191,NA,1,NA,NA,NA,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Psychromonadaceae","Psychromonas"
8241,1,NA,1,1,1,1,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","Portibacter"
8242,1,NA,NA,NA,1,NA,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","Portibacter"
8243,1,NA,1,NA,1,1,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","Portibacter"
8244,1,NA,1,1,1,NA,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","Portibacter"
