ASVid,Kingdom,Phylum,Class,Order,Family,Genus
4,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Schleiferiaceae,Schleiferia
63,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales_Incertae_Sedis,Bauldia
71,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga
88,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
100,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga
109,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Roseibacillus
118,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquimarina
139,Bacteria,Proteobacteria,Alphaproteobacteria,E6aD10,E6aD10_fa,E6aD10_ge
149,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Octadecabacter
152,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Octadecabacter
154,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Litorimonas
161,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Saprospiraceae_ge
164,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Octadecabacter
171,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
172,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas
187,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
189,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Saprospiraceae_ge
191,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,DEV007,DEV007_ge
218,Bacteria,Proteobacteria,Alphaproteobacteria,E6aD10,E6aD10_fa,E6aD10_ge
219,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OM1_clade,Candidatus_Actinomarina
222,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Saprospiraceae_ge
223,Bacteria,Proteobacteria,Alphaproteobacteria,E6aD10,E6aD10_fa,E6aD10_ge
226,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Cryomorphaceae_ge
230,Bacteria,Proteobacteria,Alphaproteobacteria,E6aD10,E6aD10_fa,E6aD10_ge
233,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
236,Bacteria,Proteobacteria,Alphaproteobacteria,E6aD10,E6aD10_fa,E6aD10_ge
238,Bacteria,Proteobacteria,Alphaproteobacteria,E6aD10,E6aD10_fa,E6aD10_ge
239,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Phyllobacteriaceae_ge
240,Bacteria,Proteobacteria,Alphaproteobacteria,E6aD10,E6aD10_fa,E6aD10_ge
242,Bacteria,Proteobacteria,Alphaproteobacteria,E6aD10,E6aD10_fa,E6aD10_ge
247,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Litorimonas
248,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Lacinutrix
250,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
251,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter
252,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
253,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
259,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Phyllobacteriaceae_ge
264,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Pseudaminobacter
272,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
274,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
280,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
283,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
285,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
287,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
294,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
297,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
298,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
299,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
300,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
303,Bacteria,Proteobacteria,Gammaproteobacteria,HOC36,HOC36_fa,HOC36_ge
304,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
305,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,SWB04,SWB04_ge
306,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
307,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
308,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
309,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
310,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
311,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
312,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
313,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
314,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
315,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Profundibacterium
316,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Octadecabacter
317,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria
320,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
323,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
324,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
329,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
339,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
346,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
348,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
354,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
358,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
360,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
361,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
362,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
363,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
364,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
365,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
366,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
369,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
370,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Rubritalea
371,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Peptoniphilus
377,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group
378,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group
379,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus
380,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma
382,Bacteria,Proteobacteria,Gammaproteobacteria,E01-9C-26_marine_group,E01-9C-26_marine_group_fa,E01-9C-26_marine_group_ge
385,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium
393,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus
394,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Gallicola
397,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter
399,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
400,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
403,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas
422,Bacteria,Planctomycetes,vadinHA49,vadinHA49_or,vadinHA49_fa,vadinHA49_ge
426,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Pseudohongiella
428,Bacteria,Proteobacteria,Gammaproteobacteria,E01-9C-26_marine_group,E01-9C-26_marine_group_fa,E01-9C-26_marine_group_ge
429,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Haliea
434,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Leucothrix
440,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas
441,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Aliiglaciecola
443,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas
445,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas
446,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas
447,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas
451,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fastidiosipila
454,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Litorimonas
456,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Litorimonas
464,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus
465,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus
468,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus
469,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus
470,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus
472,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Surface_1,Surface_1_ge
473,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86_clade,SAR86_clade_ge
475,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
476,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86_clade,SAR86_clade_ge
497,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae_ge
498,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae_ge
505,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae_ge
512,Bacteria,Proteobacteria,Gammaproteobacteria,X35,X35_fa,X35_ge
517,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Coxiella
521,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Rhodobiaceae_ge
522,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae_ge
529,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquimarina
530,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
539,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
547,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
549,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Ulvibacter
550,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
560,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Algitalea
566,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tamlana
574,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter
581,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
582,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellales_fa,Gaiellales_ge
583,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquimarina
584,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
585,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
587,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
588,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
591,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Rubritalea
592,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriales_fa,Sphingobacteriales_ge
603,Bacteria,Verrucomicrobia,WCHB1-41,WCHB1-41_or,WCHB1-41_fa,WCHB1-41_ge
612,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group
613,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellales_fa,Gaiellales_ge
617,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Cytophagaceae_ge
623,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
628,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
632,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Ulvibacter
637,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
638,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Jejudonia
647,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
649,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
663,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,Oligoflexaceae,Pseudobacteriovorax
665,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
666,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
667,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
668,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
670,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,DEV007,DEV007_ge
676,Bacteria,Proteobacteria,Gammaproteobacteria,HOC36,HOC36_fa,HOC36_ge
681,Bacteria,Proteobacteria,Gammaproteobacteria,HOC36,HOC36_fa,HOC36_ge
683,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86_clade,SAR86_clade_ge
684,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,0319-6G20,0319-6G20_ge
698,Bacteria,Proteobacteria,Gammaproteobacteria,KI89A_clade,KI89A_clade_fa,KI89A_clade_ge
712,Bacteria,Proteobacteria,Gammaproteobacteria,KI89A_clade,KI89A_clade_fa,KI89A_clade_ge
714,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales_Incertae_Sedis,Rhizomicrobium
717,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86_clade,SAR86_clade_ge
719,Bacteria,Acidobacteria,Subgroup_6,Subgroup_6_or,Subgroup_6_fa,Subgroup_6_ge
726,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
737,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriales_fa,Sphingobacteriales_ge
752,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Algitalea
755,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group
763,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group
769,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter
770,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_ge
771,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_ge
777,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Saprospiraceae_ge
786,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
787,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
789,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
791,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
794,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
795,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
799,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
802,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
812,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
815,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
816,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
817,Bacteria,Proteobacteria,Gammaproteobacteria, Oceanospirillales,Alcanivoracaceae,Marinicella
818,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
819,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
820,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
821,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
823,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
826,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Phycisphaera
836,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae_ge
843,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Bibersteinia
844,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
847,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Octadecabacter
850,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
851,Bacteria,Proteobacteria,Alphaproteobacteria,Parvularculales,Parvularculaceae,Parvularculaceae_ge
853,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Octadecabacter
856,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Octadecabacter
864,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Phyllobacteriaceae_ge
866,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Octadecabacter
868,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
870,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
873,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
876,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquimarina
877,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquimarina
878,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquimarina
883,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia
889,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Rheinheimera
909,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Rubidimonas
910,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiaceae,Marinilabiaceae_ge
920,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Saprospiraceae_ge
934,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiales_fa,Acidimicrobiales_ge
935,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces
936,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonadaceae_ge
941,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Paraburkholderia
945,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Phyllobacteriaceae_ge
946,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Cryomorphaceae_ge
948,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Rubritalea
949,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
956,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
994,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
1003,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
1004,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
1007,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
1013,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
1021,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas
1022,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas
1023,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Paraburkholderia
1055,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Surface_1,Surface_1_ge
1056,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Surface_1,Surface_1_ge
1058,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Atopobium
1059,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Reinekea
1060,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,JTB255_marine_benthic_group,JTB255_marine_benthic_group_ge
1062,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiales_fa,Acidimicrobiales_ge
1071,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
1072,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OM1_clade,Candidatus_Actinomarina
1073,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudoruegeria
1074,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Octadecabacter
1075,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Octadecabacter
1083,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae_ge
1084,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sulfitobacter
1089,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Octadecabacter
1093,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Loktanella
1102,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Octadecabacter
1107,Bacteria,Proteobacteria,Alphaproteobacteria,Parvularculales,Parvularculaceae,Parvularculaceae_ge
1108,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Octadecabacter
1121,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Luteolibacter
1122,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Octadecabacter
1125,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Peptoniphilus
1127,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae_ge
1135,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Coxiella
1140,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium
